996k  113.133.233.163:8021
959k  113.138.137.0:8001
940k  36.46.99.75:8008
929k  36.46.99.75:8020
914k  222.90.3.250:8888
905k  113.133.233.163:8020
886k  117.32.84.16:8020
881k  117.32.85.85:8020
880k  summer-xa.icopylock.com:8888
880k  117.32.84.16:8008
868k  117.32.85.85:8021
863k  117.32.84.16:8021
857k  36.46.99.75:8021
850k  113.138.133.36:8001
816k  117.32.85.85:8008
745k  113.138.134.194:8001
