1643k  115.239.1.122:8888
1321k  125.113.162.31:8888
1310k  60.184.42.80:8889
1308k  60.184.42.70:8889
1306k  115.207.210.81:8889
1303k  60.184.42.70:8888
1299k  115.207.210.81:8888
1281k  115.230.180.178:9999
1277k  60.184.42.80:8888
1271k  115.210.75.231:58888
1267k  60.184.42.82:8888
1209k  60.182.235.228:9999
1068k  60.184.42.82:8889
