1229k  60.168.231.218:2000
1216k  60.168.225.55:2000
1199k  60.168.231.209:2000
1142k  60.168.224.173:2000
1116k  114.107.2.37:2000
1115k  114.107.2.88:2000
1106k  36.62.124.128:4000
1083k  60.168.225.139:2000
1055k  114.107.3.230:2000
1013k  183.166.118.216:8888
664k  61.190.129.195:8686
293k  117.67.171.13:4022
